,predicted_mean
2444,178.55449036767894
2445,178.55449036767894
2446,178.55449036767894
2447,178.55449036767894
2448,178.55449036767894
2449,178.55449036767894
2450,178.55449036767894
2451,178.55449036767894
2452,178.55449036767894
2453,178.55449036767894
2454,178.55449036767894
2455,178.55449036767894
2456,178.55449036767894
2457,178.55449036767894
2458,178.55449036767894
2459,178.55449036767894
2460,178.55449036767894
2461,178.55449036767894
2462,178.55449036767894
2463,178.55449036767894
2464,178.55449036767894
2465,178.55449036767894
2466,178.55449036767894
2467,178.55449036767894
2468,178.55449036767894
2469,178.55449036767894
2470,178.55449036767894
2471,178.55449036767894
2472,178.55449036767894
2473,178.55449036767894
2474,178.55449036767894
2475,178.55449036767894
2476,178.55449036767894
2477,178.55449036767894
2478,178.55449036767894
2479,178.55449036767894
2480,178.55449036767894
2481,178.55449036767894
2482,178.55449036767894
2483,178.55449036767894
2484,178.55449036767894
2485,178.55449036767894
2486,178.55449036767894
2487,178.55449036767894
2488,178.55449036767894
2489,178.55449036767894
2490,178.55449036767894
2491,178.55449036767894
2492,178.55449036767894
2493,178.55449036767894
2494,178.55449036767894
2495,178.55449036767894
2496,178.55449036767894
2497,178.55449036767894
2498,178.55449036767894
2499,178.55449036767894
2500,178.55449036767894
2501,178.55449036767894
2502,178.55449036767894
2503,178.55449036767894
2504,178.55449036767894
2505,178.55449036767894
2506,178.55449036767894
2507,178.55449036767894
2508,178.55449036767894
2509,178.55449036767894
2510,178.55449036767894
2511,178.55449036767894
2512,178.55449036767894
2513,178.55449036767894
2514,178.55449036767894
2515,178.55449036767894
2516,178.55449036767894
2517,178.55449036767894
2518,178.55449036767894
2519,178.55449036767894
2520,178.55449036767894
2521,178.55449036767894
2522,178.55449036767894
2523,178.55449036767894
2524,178.55449036767894
2525,178.55449036767894
2526,178.55449036767894
2527,178.55449036767894
2528,178.55449036767894
2529,178.55449036767894
2530,178.55449036767894
2531,178.55449036767894
2532,178.55449036767894
2533,178.55449036767894
2534,178.55449036767894
2535,178.55449036767894
2536,178.55449036767894
2537,178.55449036767894
2538,178.55449036767894
2539,178.55449036767894
2540,178.55449036767894
2541,178.55449036767894
2542,178.55449036767894
2543,178.55449036767894
2544,178.55449036767894
2545,178.55449036767894
2546,178.55449036767894
2547,178.55449036767894
2548,178.55449036767894
2549,178.55449036767894
2550,178.55449036767894
2551,178.55449036767894
2552,178.55449036767894
2553,178.55449036767894
2554,178.55449036767894
2555,178.55449036767894
2556,178.55449036767894
2557,178.55449036767894
2558,178.55449036767894
2559,178.55449036767894
2560,178.55449036767894
2561,178.55449036767894
2562,178.55449036767894
2563,178.55449036767894
2564,178.55449036767894
2565,178.55449036767894
2566,178.55449036767894
2567,178.55449036767894
2568,178.55449036767894
2569,178.55449036767894
2570,178.55449036767894
2571,178.55449036767894
2572,178.55449036767894
2573,178.55449036767894
2574,178.55449036767894
2575,178.55449036767894
2576,178.55449036767894
2577,178.55449036767894
2578,178.55449036767894
2579,178.55449036767894
2580,178.55449036767894
2581,178.55449036767894
2582,178.55449036767894
2583,178.55449036767894
2584,178.55449036767894
2585,178.55449036767894
2586,178.55449036767894
2587,178.55449036767894
2588,178.55449036767894
2589,178.55449036767894
2590,178.55449036767894
2591,178.55449036767894
2592,178.55449036767894
2593,178.55449036767894
2594,178.55449036767894
2595,178.55449036767894
2596,178.55449036767894
2597,178.55449036767894
2598,178.55449036767894
2599,178.55449036767894
2600,178.55449036767894
2601,178.55449036767894
2602,178.55449036767894
2603,178.55449036767894
2604,178.55449036767894
2605,178.55449036767894
2606,178.55449036767894
2607,178.55449036767894
2608,178.55449036767894
2609,178.55449036767894
2610,178.55449036767894
2611,178.55449036767894
2612,178.55449036767894
2613,178.55449036767894
2614,178.55449036767894
