Price,Close,High,Low,Open,Volume
2020-10-21,316.88836669921875,319.6066946596672,316.58323270677243,317.4431044735385,63575000
2020-10-22,318.6265563964844,319.2090592108434,314.9651464132425,317.10097125484754,55399300
2020-10-23,319.7083740234375,319.9025322364598,317.258188232449,319.84705846131055,49143900
2020-10-26,313.8002014160156,317.1195140807674,310.31443920384794,316.33359795190205,91473000
2020-10-27,312.7183837890625,314.4751191044585,312.5057155150436,314.1422764667609,65994100
2020-10-28,302.030029296875,312.7461466489848,301.5399921174108,307.05985871686283,127094300
2020-10-29,305.099609375,308.2617265191233,300.57830047929804,302.261079754379,90597700
2020-10-30,301.9190368652344,304.8315226203362,298.2761088587803,303.52783260839107,120287300
2020-11-02,305.3030700683594,307.300182145621,302.56623250835605,305.3030700683594,86068300
2020-11-03,310.6934509277344,312.74606480991656,305.3862540087451,308.52988951947157,93294200
2020-11-04,317.6372985839844,321.70553558783416,313.9851149209246,315.15934752702685,126959700
2020-11-05,323.83203125,325.635013295376,322.5560781983881,322.9074308608974,82039700
2020-11-06,323.7581481933594,325.0063646417054,321.43739166729375,323.5454798982403,74973000
2020-11-09,327.8263854980469,336.90597013486416,327.3640851994297,336.52688050400957,172304200
2020-11-10,327.3455505371094,328.39958037530033,324.0817120840673,326.8370033607283,85552000
2020-11-11,329.77728271484375,330.60016251209254,328.2886611922482,329.5276225136965,58649000
2020-11-12,326.578125,329.82348168786507,324.7751710085161,328.76942360523407,67546200
2020-11-13,331.0994873046875,331.8391565132532,327.965077662347,328.48285175165734,62892200
2020-11-16,335.2324523925781,335.4266106214588,332.4771323966517,333.76234079790987,74541100
2020-11-17,333.429443359375,334.63144099542336,331.3213552496351,332.8284586496354,66111000
2020-11-18,329.4167175292969,334.24313403742127,329.3797256027603,333.6976230414402,70591300
2020-11-19,330.803466796875,331.1733012429203,327.447163471309,328.78784508185265,59940900
2020-11-20,328.53839111328125,330.74820057774406,328.46443546429055,330.544787272298,70417300
2020-11-23,330.5076904296875,331.7651617960009,328.1129784945893,330.34126910985094,63230600
2020-11-24,335.8333740234375,336.37888489880055,332.1997010545498,333.0503176608031,62415900
2020-11-25,335.31561279296875,335.77791303204526,334.22459100072433,335.75017614636334,45330900
